ticker,sector,industry,earnings_date,sentiment_score,financial_quality_score,valuation_score,leverage_score,forecast_score,risk_score_combined,predicted_return,lower_bound,upper_bound,interval_width,sentiment_pct,financial_pct,forecast_pct,valuation_pct,leverage_pct,risk_pct,overall_score,overall_rank_in_sector,peer_count,rank_percentile,recommendation,sector_avg_sentiment,sector_avg_financial_quality,sector_avg_forecast,sector_avg_risk,sector_avg_overall_score,sentiment_vs_sector,financial_vs_sector,forecast_vs_sector,risk_vs_sector,return_20d,market_cap,sector_raw,industry_raw,quarter,forecast_confidence,downside_risk,recommendation_score,quarter_rank,is_top10
KT,Communication Services,Telecom Services,2022-05-12,0.7550511229249091,0.2489019996,-4.6948004,-63.276,0.0710430286159995,0.1969954698136709,0.0190418222954319,-0.1027843538024719,0.1652468890000752,0.2680312428025471,1.0,0.7904761904761904,0.8857142857142857,0.7428571428571429,0.580952380952381,0.238095238095238,0.8333333333333333,1.0,105,1.0,Buy,0.278602079529016,0.1292768957859047,0.0088146396463528,0.3578756329009985,0.5038095238095238,0.476449043395893,0.1196251038140952,0.010227182649079,-0.1608801630873275,0.0135039925893267,8962670592.0,Communication Services,Telecom Services,2022Q2,3.730894423536485,0.1218261760979038,0.7564805903111966,1.0,True
HRZN,Financial Services,Asset Management,2022-05-04,0.555010876469858,0.415252,-5.6452036,-133.937,0.0653751853073767,0.4156842335344302,0.0151474239584443,-0.1187947382636244,0.1129041626578819,0.2316989009215063,0.946043165467626,0.9136690647482014,0.7230215827338129,0.9064748201438848,0.1402877697841726,0.564748201438849,0.7577338129496405,4.0,278,0.9892086330935252,Buy,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.2755358048569118,0.1397457554348848,-0.0001723968617789,-0.0352455213839175,-0.0198022432490837,294205376.0,Financial Services,Asset Management,2022Q2,4.315927611634038,0.1339421622220687,0.719984766758297,2.0,True
VOYA,Financial Services,Financial Conglomerates,2022-05-04,0.5411033678756285,0.182575992,-8.015809,-73.442,0.1228025003497812,0.3687164182904031,0.0349259421367493,-0.1206700158831946,0.163736402836041,0.2844064187192356,0.935251798561151,0.5107913669064749,0.8633093525179856,0.7589928057553957,0.2230215827338129,0.3920863309352518,0.6931654676258994,13.0,278,0.9568345323741008,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.2616282962626823,-0.0929302525651151,0.019606121316526,-0.0822133366279446,0.009640201403678,8021248512.0,Financial Services,Financial Conglomerates,2022Q2,3.5160826834379835,0.15559595801994391,0.719566475789532,3.0,True
MTX,Basic Materials,Specialty Chemicals,2022-04-29,0.5806352550842265,0.1198599992,-10.724596,-54.851,0.0740146753933919,0.3042241451812411,0.0195218950156469,-0.1113579875039158,0.1523980973159119,0.2637560848198277,0.97196261682243,0.4672897196261682,0.9065420560747663,0.616822429906542,0.5233644859813084,0.2616822429906542,0.7289719626168224,4.0,107,0.97196261682243,Buy,0.2821841289930048,0.1394136077375701,0.0133285877985363,0.3960616588256828,0.5037383177570093,0.2984511260912217,-0.0195536085375701,0.0061933072171105,-0.0918375136444417,0.059739240476196,2372788224.0,Basic Materials,Specialty Chemicals,2022Q2,3.7913673510726715,0.1308798825195627,0.7145435492430716,4.0,True
ARCC,Financial Services,Asset Management,2022-04-26,0.3382669352761143,0.462703988,-9.879556,-112.911,0.1164621596985046,0.467987837650476,0.0266289081085501,-0.1015878369630936,0.1270597487877337,0.2286475857508274,0.6115107913669064,0.9568345323741008,0.841726618705036,0.5107913669064749,0.1798561151079136,0.7410071942446043,0.6553956834532374,32.0,278,0.8884892086330936,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.058791863663168,0.1871977434348848,0.0113090872883268,0.0170580827321283,-0.0671717531464763,13663975424.0,Financial Services,Asset Management,2022Q2,4.373523661719746,0.1282167450716437,0.7101852223707079,5.0,True
SU,Energy,Oil & Gas Integrated,2022-05-10,0.4355564933107678,0.2238839999999999,-11.508191,-32.358,0.0565616669652583,0.3535099674144093,0.0209543738350149,-0.1261488317394478,0.2443196922207573,0.3704685239602051,0.9081632653061223,0.673469387755102,0.8775510204081632,0.6020408163265306,0.7857142857142857,0.3571428571428571,0.7739795918367347,1.0,98,1.0,Buy,0.2612681571950014,0.1736823675338775,0.0091151599791071,0.4266545525131396,0.5040816326530612,0.1742883361157663,0.0502016324661224,0.0118392138559077,-0.0731445850987303,0.2486481231918182,72261607424.0,Energy,Oil & Gas Integrated,2022Q2,2.699277363790436,0.1471032055744627,0.7062232130580818,6.0,True
LKQ,Consumer Cyclical,Auto Parts,2022-04-28,0.4179573175487469,0.1234339949999999,-7.6289268,-80.678,0.0868257794779502,0.3570250992419554,0.021918532176361,-0.1095744225110933,0.1428672541702869,0.2524416766813802,0.73992673992674,0.4871794871794871,0.934065934065934,0.8168498168498168,0.5201465201465202,0.4395604395604395,0.6833333333333335,25.0,273,0.912087912087912,Hold,0.2937265521965516,0.1291357880104981,0.0103208019198157,0.463530594762463,0.5014652014652015,0.1242307653521953,-0.0057017930104981,0.0115977302565453,-0.1065054955205075,0.0008563988060199,6461495808.0,Consumer Cyclical,Auto Parts,2022Q2,3.9612953449315045,0.1314929546874543,0.7060089829964711,7.0,True
PH,Industrials,Specialty Industrial Machinery,2022-05-05,0.3117432624030918,0.2198700028,-26.55746,-65.554,0.1159139771370203,0.5024250900530515,0.0332966367244509,-0.108365109978167,0.178886881825327,0.287251991803494,0.5112781954887218,0.8195488721804511,0.9661654135338346,0.1954887218045112,0.5300751879699248,0.793233082706767,0.619172932330827,57.0,266,0.7894736842105263,Hold,0.3129178525257217,-0.0324565641269925,0.0113810186854063,0.4502777931946961,0.5015037593984962,-0.0011745901226298,0.2523265669269925,0.0219156180390445,0.0521472968583553,0.0075209372688402,114175016960.0,Industrials,Specialty Industrial Machinery,2022Q2,3.4812518182024266,0.1416617467026179,0.6914612807282886,8.0,True
AER,Industrials,Rental & Leasing Services,2022-05-17,0.2287151839663023,0.3887180004,-8.166041,-234.407,0.1644227683970008,0.5505291521076413,0.0631086374007834,-0.1089750689095422,0.2748432647268239,0.3838183336363661,0.3909774436090225,0.9661654135338346,1.0,0.8421052631578947,0.1090225563909774,0.8120300751879699,0.6531954887218047,33.0,266,0.8796992481203008,Hold,0.3129178525257217,-0.0324565641269925,0.0113810186854063,0.4502777931946961,0.5015037593984962,-0.0842026685594193,0.4211745645269925,0.051727618715377,0.1002513589129452,-0.1520747652492128,21921384448.0,Industrials,Rental & Leasing Services,2022Q2,2.605392465579676,0.1720837063103256,0.6896708807630241,9.0,True
KEY,Financial Services,Banks - Regional,2022-04-21,0.3889897651308149,0.147623996,-10.250036,-72.097,0.1499407991495016,0.4894552013685653,0.0327299880240938,-0.0525996455111142,0.1656854261234626,0.2182850716345768,0.7338129496402878,0.2625899280575539,0.9172661870503596,0.4496402877697841,0.4442446043165468,0.7841726618705036,0.543525179856115,106.0,278,0.6223021582733813,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.1095146935178687,-0.1278822485651151,0.0174101672038705,0.0385254464502176,-0.1290322417355115,23854049280.0,Financial Services,Banks - Regional,2022Q2,4.581144332809545,0.085329633535208,0.6860337485545732,10.0,True
