ticker,sector,industry,earnings_date,sentiment_score,financial_quality_score,valuation_score,leverage_score,forecast_score,risk_score_combined,predicted_return,lower_bound,upper_bound,interval_width,sentiment_pct,financial_pct,forecast_pct,valuation_pct,leverage_pct,risk_pct,overall_score,overall_rank_in_sector,peer_count,rank_percentile,recommendation,sector_avg_sentiment,sector_avg_financial_quality,sector_avg_forecast,sector_avg_risk,sector_avg_overall_score,sentiment_vs_sector,financial_vs_sector,forecast_vs_sector,risk_vs_sector
FIGS,Consumer Cyclical,Apparel Manufacturing,2022-11-10,0.429419929224204,0.1809060012,-36.299107,-14.072,0.126864477070034,0.30802520469763983,0.0650233101784646,-0.2504041454812165,0.2621363608584128,0.5125405063396293,0.7655677655677655,0.7252747252747253,0.967032967032967,0.054945054945054944,0.945054945054945,0.3076923076923077,0.7353479853479853,7.0,273,0.978021978021978,Buy,0.29372655219655164,0.12913578801049816,0.0103208019198157,0.46353059476246306,0.5014652014652015,0.13569337702765238,0.05177021318950184,0.054702508258648905,-0.15550539006482322
ANF,Consumer Cyclical,Apparel Retail,2021-11-23,0.4755940343099431,0.26187999919999994,-7.071477,-95.464,0.026306235450643145,0.3063292517501747,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.8278388278388278,0.8864468864468864,0.5274725274725275,0.8424908424908425,0.4652014652014652,0.30036630036630035,0.7347985347985349,8.0,273,0.9743589743589743,Buy,0.29372655219655164,0.12913578801049816,0.0103208019198157,0.46353059476246306,0.5014652014652015,0.1818674821133915,0.13274421118950178,9.92279130901004e-05,-0.15720134301228833
CHWY,Consumer Cyclical,Internet Retail,2022-12-08,0.45982681926438485,0.193038,-10.426888,-111.83,0.09993415502517065,0.3728495374059561,0.0504621026368447,-0.2023507630465188,0.302601749835385,0.5049525128819039,0.7985347985347986,0.7509157509157509,0.9413919413919414,0.6593406593406593,0.4175824175824176,0.5164835164835165,0.7316849816849815,9.0,273,0.9706959706959707,Buy,0.29372655219655164,0.12913578801049816,0.0103208019198157,0.46353059476246306,0.5014652014652015,0.1661002670678332,0.06390221198950183,0.040141300717028996,-0.09068105735650694
ETSY,Consumer Cyclical,Internet Retail,2021-11-03,0.4648298412755921,0.24071400079999994,-10.505955,-72.097,0.026306235450643145,0.24670212054791985,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.8095238095238095,0.8498168498168498,0.5274725274725275,0.652014652014652,0.6355311355311355,0.21978021978021978,0.727106227106227,10.0,273,0.967032967032967,Buy,0.29372655219655164,0.12913578801049816,0.0103208019198157,0.46353059476246306,0.5014652014652015,0.1711032890790405,0.11157821278950178,9.92279130901004e-05,-0.2168284742145432
BUD,Consumer Defensive,Beverages - Brewers,2022-10-27,0.5773099759500793,0.21663400259999993,-16.46373,-75.033,0.08303737757071819,0.2821135724033556,0.0210730102216231,-0.0913229206631327,0.1624534846225342,0.253776405285667,0.9351851851851852,0.8333333333333334,0.9259259259259259,0.26851851851851855,0.5092592592592593,0.21296296296296297,0.7837962962962964,1.0,108,1.0,Buy,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.27966318429134895,0.093602077594074,0.01395278867278681,-0.10792888049097088
KOF,Consumer Defensive,Beverages - Non-Alcoholic,2022-07-26,0.6051323202477117,0.180204,-12.336177,-65.236,0.05386927078630107,0.2565466144961824,0.0151111435890419,-0.1165668838337005,0.1639472107364056,0.2805140945701062,0.9629629629629629,0.7129629629629629,0.8240740740740741,0.5462962962962963,0.5833333333333334,0.16666666666666666,0.7800925925925926,2.0,108,0.9907407407407407,Buy,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.30748552858898137,0.057172074994074076,0.00799092204020561,-0.1334958383981441
EDU,Consumer Defensive,Education & Training Services,2023-01-17,0.4097597611520406,0.1823900006,-10.439158,-18.266,0.041471799109019054,0.27913714011675067,0.017110581181461,-0.1353500728759332,0.2772324549445391,0.4125825278204723,0.7407407407407407,0.7222222222222222,0.7870370370370371,0.7037037037037037,0.8055555555555556,0.2037037037037037,0.7537037037037038,3.0,108,0.9814814814814815,Buy,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.11211296949331029,0.059358075594074064,0.009990359632624707,-0.11090531277757582
KO,Consumer Defensive,Beverages - Non-Alcoholic,2022-10-25,0.6232296710848276,0.354962004,-23.349207,-124.943,0.037167855058255296,0.4005135026104767,0.0075297991814249,-0.0940504484760913,0.1085375674793093,0.2025880159554006,0.9814814814814815,0.9629629629629629,0.7777777777777778,0.12037037037037036,0.28703703703703703,0.5370370370370371,0.7287037037037036,4.0,108,0.9722222222222222,Buy,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.3255828794260973,0.23193007899407408,0.0004095776325886086,0.010471049716150205
PG,Consumer Defensive,Household & Personal Products,2021-10-19,0.5916379478574183,0.270461998,-20.983442,-67.651,0.026306235450643145,0.370959856310773,0.0104200298329058,-0.173299755423342,0.2235777970188133,0.396103940688161,0.9444444444444444,0.9166666666666666,0.5231481481481481,0.16666666666666666,0.5740740740740741,0.4537037037037037,0.6986111111111111,5.0,108,0.962962962962963,Hold,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.293991156198688,0.14743007299407407,0.0032998082840695097,-0.01908259658355349
RLX,Consumer Defensive,Tobacco,2022-09-21,0.3042398744776971,0.160849998,-11.875522,-1.323,0.37566830483226693,0.3913100253174207,0.1486306430992567,-0.1285002455793801,0.2671420418297591,0.3956422874091392,0.5,0.6388888888888888,1.0,0.5833333333333334,0.9907407407407407,0.5277777777777778,0.6893518518518518,6.0,108,0.9537037037037037,Hold,0.2976467916587303,0.12303192500592593,0.007120221548836291,0.3900424528943265,0.5037037037037037,0.006593082818966811,0.03781807299407407,0.1415104215504204,0.001267572423094221
